date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
08-04-2013,52,78.1,0,0,0,9.84,230,21.03,240,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
09-04-2013,57,82.9,0,0,0,7.61,240,19.91,220,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-04-2013,60.1,84.9,0,0,0,11.41,230,19.91,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11-04-2013,62.1,81,0,0,0,12.3,230,21.92,200,29.08,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
12-04-2013,63,80.1,1.04,0,0,12.3,230,23.94,230,33.11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13-04-2013,52,73.9,0,0,0,3.8,240,14.09,270,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14-04-2013,44.1,79,0,0,0,3.36,200,14.09,180,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
15-04-2013,57.9,71.1,0.02,0,0,7.16,90,17,100,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16-04-2013,57.9,75.9,0,0,0,3.13,200,8.95,160,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
17-04-2013,57.9,80.1,0,0,0,7.61,200,14.99,200,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
18-04-2013,62.1,79,0,0,0,8.95,160,18.12,170,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19-04-2013,64,84,0.57,0,0,15.21,220,46.98,220,59.06,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20-04-2013,44.1,64,0.01,0,0,3.8,240,21.92,240,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21-04-2013,41,61,0,0,0,9.4,50,21.03,50,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22-04-2013,35.1,61,0.01,0,0,10.51,50,19.91,50,25.95,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23-04-2013,46.9,66.9,0.13,0,0,4.47,40,14.99,50,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24-04-2013,48.9,77,0,0,0,9.84,230,23.04,230,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
